election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator,elected_indicator,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.36.1997,3600,ED11-001,1,Larry Duchesne,Larry,Larry,Duchesne,M,Teacher,Enseignant,N,N,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,NDP,NPD
GE.36.1997,3600,ED11-001,2,Dan Hughes,Dan,Dan,Hughes,M,Businessman,Homme d'affaires,N,N,Montague,Prince Edward Island,Île-du-Prince-Édouard,PC,PC
GE.36.1997,3600,ED11-001,3,Lawrence MacAulay,Lawrence,Lawrence,MacAulay,M,Farmer,Fermier,Y,Y,St. Peters Bay,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
GE.36.1997,3600,ED11-002,1,John J. MacDonald,John,John,MacDonald,M,Farmer,Fermier,N,N,St. Nicholas,Prince Edward Island,Île-du-Prince-Édouard,PC,PC
GE.36.1997,3600,ED11-002,2,Joe McGuire,Joe,Joe,McGuire,M,Member of Parliament,Député,Y,Y,Tyne Valley,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
GE.36.1997,3600,ED11-002,3,Adelard Pitre,Adelard,Adelard,Pitre,M,Retired Instructor,Instructeur retraité,N,N,Richmond,Prince Edward Island,Île-du-Prince-Édouard,NDP,NPD
GE.36.1997,3600,ED11-003,1,Dolores Crane,Dolores,Dolores,Crane,F,Lawyer,Avocate,N,N,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,NDP,NPD
GE.36.1997,3600,ED11-003,2,Blaine Jensen,Blaine,Blaine,Jensen,M,Educational Administrator,Administrateur de l'enseignement,N,N,Cornwall,Prince Edward Island,Île-du-Prince-Édouard,Reform,Réforme
GE.36.1997,3600,ED11-003,3,Baird Judson,Baird,Baird,Judson,M,Professor,Professeur,N,N,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,CHP,PHC
GE.36.1997,3600,ED11-003,4,Paula Price,Paula,Paula,Price,F,Artist,Artiste,N,N,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,NLP,PLN
GE.36.1997,3600,ED11-003,5,George Proud,George,George,Proud,M,Property Supervisor,Surveillant des biens,Y,Y,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
GE.36.1997,3600,ED11-003,6,Mitchell G. Tweel,Mitchell,Mitchell,Tweel,M,Self-employed,Travailleur autonome,N,N,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,PC,PC
GE.36.1997,3600,ED11-004,1,Wayne Easter,Wayne,Wayne,Easter,M,Farmer,Fermier,Y,Y,North Wiltshire,Prince Edward Island,Île-du-Prince-Édouard,Liberal,Libéral
GE.36.1997,3600,ED11-004,2,Jimmie Gorman,Jimmie,Jimmie,Gorman,M,Businessman,Homme d'affaires,N,N,Bonshaw,Prince Edward Island,Île-du-Prince-Édouard,PC,PC
GE.36.1997,3600,ED11-004,3,Stephen Livingstone,Stephen,Stephen,Livingstone,M,"Auto Body Repair, Farm","Réparation de carrosseries, ferme",N,N,Bonshaw,Prince Edward Island,Île-du-Prince-Édouard,Reform,Réforme
GE.36.1997,3600,ED11-004,4,Andrew Wells,Andrew,Andrew,Wells,M,Retired,Retraité,N,N,Hunter River,Prince Edward Island,Île-du-Prince-Édouard,NDP,NPD
GE.36.1997,3600,ED12-001,1,Frank Crowdis,Frank,Frank,Crowdis,M,Forest Management,Aménagement forestier,N,N,Margaree Valley,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-001,2,David Dingwall,David,David,Dingwall,M,Lawyer,Avocat,Y,N,Sydney,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-001,3,Michelle Dockrill,Michelle,Michelle,Dockrill,F,Front-Line Health Care Worker,Préposée de première ligne aux soins,N,Y,Sydney,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-002,1,Dianne Brushett,Dianne,Dianne,Brushett,F,Businesswoman,Femme d'affaires,Y,N,Truro,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-002,2,Bill Casey,Bill,Bill,Casey,M,Stockbroker,Courtier en valeurs mobilières,N,Y,Amherst,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-002,3,Phyllis Hall,Phyllis,Phyllis,Hall,F,Secretary,Secrétaire,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-002,4,Ray Merriam,Ray,Ray,Merriam,M,Businessman-Truck Driver,Homme d'affaires-Camionneur,N,N,Truro,Nova Scotia,Nouvelle-Écosse,Independent,Indépendent
GE.36.1997,3600,ED12-002,5,Bob Peterson,Bob,Bob,Peterson,M,Retired,Retraité,N,N,Truro,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
