Geography,Reference period,Household final consumption expenditure,Food and non-alcoholic beverages,Food,Non-alcoholic beverages,"Alcoholic beverages, tobacco and cannabis",Alcoholic beverages,Tobacco,Cannabis products for non-medical use (licensed),Cannabis products for non-medical use (unlicensed),Clothing and footwear,"Clothing materials, other articles of clothing and clothing accessories",Garments,Cleaning of clothing,Footwear,"Housing, water, electricity, gas and other fuels",Paid rental fees for housing,Imputed rental fees for housing,Materials for the maintenance and repair of the dwelling,Services for the maintenance and repair of the dwelling,Water supply and sanitation services,Electricity,Gas,Other fuels,"Furnishings, household equipment and other goods and services related to the dwelling and property",Furniture and furnishings,Carpets and other floor coverings,Household textiles,Major household appliances,Small electric household appliances,Major tools and equipment,Small tools and miscellaneous accessories,Other semi-durable household goods,Other non-durable household goods,Repair of personal and household goods except vehicles,Renting and leasing of personal and household goods except passenger vehicles,Other services related to the dwelling and property,Health,Pharmaceutical products and other medical products (except cannabis),Cannabis products for medical use,Therapeutic appliances and equipment,Out-patient services,Hospital services,Transport,New passenger cars,"New trucks, vans and sport utility vehicles",Used motor vehicles,Other vehicles,Spare parts and accessories for vehicles,Fuels and lubricants,Maintenance and repair of vehicles,Parking,Passenger vehicle renting,Other services related to the operation of transport equipment,Urban transit and interurban bus,Taxi and limousine,Air transport,Railway and water transport,Other transport services,Communications,Postal services,Telecommunication equipment,Telecommunication services,Recreation and culture,Audio-visual and photographic equipment,Information processing equipment,Recording media,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers",Pets and pet food,Veterinary and other services for pets,Recreational and sporting services,"Cable, satellite and other program distribution services",Cinemas,Photographic services,Other cultural services,Games of chance,Books,Newspapers and periodicals,Miscellaneous printed matter and stationery and drawing materials,Education,University education,Other education,"Food, beverage and accommodation services",Food and non-alcoholic beverage services,Alcoholic beverage services,Accommodation services,Insurance and financial services,Life insurance,Property insurance,Health insurance,Insurance related to transport,Implicit loan charges,Implicit deposit charges,Stock and bond commissions,Other actual financial charges,Trusteed pension funds,Mutual funds,Miscellaneous goods and services,Personal grooming services,Electrical appliances for personal care,"Other appliances, articles and products for personal care","Jewellery, clocks and watches",Other personal effects,Child care services outside the home,Child care services in the home,Other social services and funeral services,Legal and other services,Net expenditure abroad,Expenditure by Canadians abroad,Expenditure by Canadians in other provinces or territories,Expenditure by non-residents in Canada,Expenditure by Canadians residing in other provinces or territories
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,"2,890.00",279.1,243.9,35.3,154.2,58.8,70.9,..,24.5,123.9,11.1,95.1,4.2,13.4,669.4,102,408.8,10.6,1,5.4,31.9,2,107.7,171.9,45.1,2.6,10.3,20.4,5.7,11.5,9.9,17.2,20.6,7.6,9.5,11.7,103.2,54.8,0,7,38.6,2.8,449.6,55.1,57.6,40.2,2,38,163.9,23.8,3.5,3.1,25.1,4.3,2.7,20,3.4,6.9,70.6,3.6,2.3,64.7,251.4,25.3,8.1,8.9,20.8,2.5,18.9,15.2,11.9,10.6,4.5,19.3,25.6,3.5,3.7,7.9,42.1,7.4,8.1,7.2,45.3,20.3,25,253.1,154.6,37,61.5,238.7,31,6.8,28.9,14.3,55.5,23,6.4,30.2,8.7,34,177.7,22.9,1.9,43.5,10.3,8,13.6,2.9,38.1,36.6,-98.2,45.1,115.1,-68.2,-190.1
,2006,"3,033.00",290.6,254.4,36.3,151.6,62.3,66,..,23.3,131.4,11.3,102,4.2,13.9,718.6,107.5,436.8,11.7,1,25.3,32.5,2.1,101.7,178.7,46.3,2.6,10.6,20.6,5.9,12.1,10.6,17.9,21.8,7.9,10,12.3,111.5,59.4,0,7.8,41.4,3,465.2,61.9,52,35.8,2.2,40.8,173.3,25.1,3.5,3.2,26.8,4.4,2.7,22.4,3.6,7.5,73.2,3.7,2.3,67.2,261.6,25.8,8.2,8.9,22.5,2.6,20.3,16.5,11.8,10.8,5.3,19.6,26.9,3.3,3.7,8.1,44.4,7.6,7.9,7.4,48.6,21.3,27.3,260.4,160.3,36.9,63.2,246.6,31.5,7.1,29.5,14.7,58.1,23,7.3,32.5,9,33.8,165.9,24.7,2,45.3,10.4,8.6,13.6,2.7,39.8,18.8,-70.8,50.8,117.9,-67.9,-171.5
,2007,"3,218.00",304.2,264.9,39.3,153.3,67.3,64.3,..,21.7,136.5,11.6,105.8,4.3,14.8,774.1,112.3,460.5,12.6,1.1,26.6,36.5,2.5,122.1,189.2,48.9,2.8,11.6,21.7,6.2,12.2,10.9,19.9,23.4,8.2,10.5,12.8,122.1,66,0,8.8,44.2,3.1,499,64,51.5,40.1,3.1,47.5,187.9,27.8,3.5,3.3,27.3,4.6,2.8,23.7,3.8,8.1,77.7,3.8,2.3,71.6,276,26.6,8.8,9.4,24.9,2.6,21.8,16.9,12.7,11.2,6.3,20.8,29.3,3.6,3.5,8.5,45.8,7.8,7.8,7.6,49.1,20.7,28.4,264.9,162.9,35.4,66.7,264.9,32.7,7.7,32.9,14.7,61,23,8,36.4,10.5,38,176.2,26.1,2.1,48.2,11.1,9.2,14.6,2.5,42.2,20.1,-69.3,55,121.4,-71.6,-174
,2008,"3,385.00",320.1,281.3,38.9,157.2,71.9,64.1,..,21.2,135.7,11.1,105,4.3,15.3,845.1,117.2,484,12.7,1.1,27.6,44.8,2.8,154.9,195.8,51.4,2.7,11.5,23.2,6.5,12.2,10.9,20.1,24.2,8.4,11.4,13.4,128.9,69.2,0,9.6,46.7,3.3,516.5,60.6,42.2,38.3,3.3,50.5,211.9,29.7,3.6,3.4,26,5,2.9,27.5,3.7,7.9,85.5,3.9,2.4,79.2,287.5,27.6,9.3,9.8,26.2,2.5,23.6,16.5,13.1,11.8,7.1,21,32.2,3.9,3.4,8.7,47.6,7.9,7.7,7.6,49.9,21.3,28.5,271.9,168.4,35.6,67.9,270.2,34.5,7.6,35,14.6,60.9,26,7.9,38.3,11.2,34.3,184.5,26.7,2.2,50,12,9.6,15.7,2.5,45,20.6,-63.6,60,126.5,-80.9,-169.3
,2009,"3,420.00",341.2,300.1,41,164.1,75.7,68,..,20.3,135.7,10.9,104.7,4.4,15.7,839.6,124.3,519.5,11.9,1.2,28.1,48.3,2.4,104,191.6,48.6,2.2,11.1,23.3,6.6,11.6,10.2,19.3,25,8.5,12,13.3,135.7,73.6,0,10.2,48.5,3.4,509.5,57.5,53.5,38.4,4.2,53.1,191.3,31.5,3.6,3.5,27.7,4.9,3.1,25.7,3.7,7.6,92.3,4,2.5,85.8,289.1,26.2,9.7,9.4,22.9,2.4,23.1,16.8,13.5,13.3,7.4,22.3,32.8,4.5,3.6,9.5,47.6,8.2,7.9,8,52.8,23.8,29,269.2,163.9,37.1,68.1,254.3,35.8,7.7,36,15.4,54,23,7.8,34.9,10.3,29.4,191.8,27,2.3,52.5,11.5,9.8,17.2,2.5,47.1,21.7,-46.7,57.1,142.8,-71.7,-174.9
,2010,"3,616.00",350.1,307.9,42.2,166.2,74.9,71.3,..,19.9,142.2,11.3,110.5,4.3,16.1,889,132.9,545.5,12.2,1.3,28.7,48.4,2.4,117.7,196.9,50.9,2.3,11.5,23.5,6.7,11.8,10.4,20.1,25,8.6,12.1,13.9,144,76.9,0,10.5,53,3.6,577.4,59.4,80.2,45.4,4.3,55.6,214.8,32.7,4,3.5,28.8,4.6,3.1,29.4,3.8,7.8,97.9,4.2,2.7,91.1,299.5,27.2,10.7,9,23.3,2.4,22.8,17.3,13.5,13.9,8.5,23.9,37.5,4.3,3.7,9.8,46.9,8.5,8.1,8.1,56.2,26.1,30.1,280.2,172.3,38.7,69.3,267,35.8,8,37,14.4,55.9,26.2,8.2,33.6,12.9,35,200.3,28.7,2.3,53.7,11.8,10.3,17.9,2.5,49.1,24,-50.9,60.5,149.4,-76.3,-184.6
,2011,"3,791.00",370.6,325.4,45.2,174.3,77.8,75.7,..,20.8,145.3,11.6,112.2,4.4,17,955.8,140.9,563.9,12.8,1.3,29,47,2.5,158.5,199.7,52,2.3,11.9,22.6,6.8,12.3,11.1,20,25.6,8.8,11.6,14.8,151.3,80.7,0.1,11.2,55.5,3.8,612.8,57.2,81.5,39.9,3.6,56.1,251.3,34.4,4.3,3.8,29.4,4.9,3.2,31.1,3.7,8.3,103,4.5,2.9,95.7,301.9,25.4,10.5,7.5,25.6,2.5,22.6,16.8,13.6,14.2,9.1,24.7,40.5,4.2,3.7,9.8,46.2,8.7,8.1,8.2,58.9,26.9,32.1,283.5,177.6,36.4,69.5,267.8,36.3,9.5,37.1,14.3,47,29,8.1,34.1,14.2,38.1,209.3,29.6,2.4,56.5,12.4,10.3,19.1,2.6,51.5,24.9,-43.3,67.9,155.5,-78.7,-188.1
,2012,"3,897.00",383.2,338.2,44.9,181.3,82.4,76.9,..,22,146,12,111,4.6,18.4,978.1,148.6,582.5,13.2,1.4,29.3,46.9,2,154.2,209.6,55.7,2.4,11.9,25.8,7.1,11.9,11.3,22,26.6,8.8,10.6,15.4,154.8,82.3,0.1,11.6,56.8,4.1,644.7,72.3,91.7,44,2,57.8,249.3,34.9,4.4,4,30.5,4.5,3.2,33.9,3.6,8.7,104.2,4.7,3.1,96.3,304.2,23.5,10.9,7.3,26.9,2.7,21.8,16.3,14.4,15.4,9.3,24.3,40.9,4.7,3.7,9.7,48.2,8.5,7.9,7.7,61.3,27.9,33.4,290.5,184,37.5,68.9,267.9,37,10,38.9,15.6,43,27,9,35.4,14.6,37.5,213.3,30.8,2.4,54.5,12.7,10.8,19.1,2.7,54.7,25.4,-42,69,157,-80,-188
,2013,"4,012.00",389.2,344.5,44.7,184.2,81.7,79.6,..,22.9,151.7,12.3,116.5,4.6,18.3,995.5,155.6,601.1,12.5,1.5,29.9,49.8,2.3,142.8,208.2,56.5,2.4,11.9,24.4,7.3,11.9,10.8,22.1,25.3,9,10.4,16.1,159.9,83.5,0.1,11.4,60.6,4.3,684.5,84.9,98.2,48.7,2.2,58.1,263.6,34.8,4.8,3.9,30.2,5,3.5,34.2,3.6,8.9,109.9,5.1,3,101.8,308.1,21.7,11,6.7,28,2.6,23.9,15.9,14.5,15.7,9.7,25.2,43.7,4.4,3.8,9.9,47.9,8.1,7.3,8,64.4,29.1,35.3,298.9,191.2,37.5,70.3,282.5,37.8,11,39.4,16.9,43.4,28.5,9.8,37.3,18.4,40,216.7,32.7,2.5,52.3,12.2,10.7,19.8,2.8,57.1,26.7,-41.6,71.2,161.1,-87.8,-186.1
,2014,"4,121.00",402.7,357.7,45,186.2,82.9,80.5,..,22.8,154.8,12.6,118.1,4.7,19.3,"1,016.50",161.5,617.9,12.3,1.6,31,54.5,3,134.6,213.5,57.6,2.3,12.8,24.7,7.1,12.6,10.6,23.8,25.3,9.3,10.5,16.8,165.9,87.4,0.3,11.2,62.5,4.4,717.2,86,114.4,48.9,2.4,60.7,269.6,36.7,5.4,4.1,31.2,5.5,3.7,36.1,3.5,9,119.5,6.5,3,110,313.5,20.1,10.8,6.6,29.3,2.8,25.3,16.7,15.2,15.9,9.8,26.2,45.9,4.1,3.9,10.3,46.9,8.4,7,8.2,68,30.5,37.5,308.9,197.5,37.9,73.5,299.2,39.9,11.4,39.6,17.2,47.7,28.8,9.4,39.7,20.3,45.3,219.5,33.4,2.4,49.8,12.3,11.1,20.3,2.8,60.7,26.7,-64.3,73,160.5,-104.7,-193.1
,2015,"4,197.00",410.4,365.8,44.6,196.7,86.3,88.2,..,22.2,162.1,12.9,123.7,4.7,20.8,"1,009.10",166.3,638.5,13.3,1.7,32,55,3.3,99,223.3,60.6,2.3,13.2,26.3,7.3,12.6,11.2,25.6,26.7,9.8,10.8,17,171,88.9,0.5,11.6,65.3,4.6,706.2,74.8,140,54.7,2.6,65.8,227.9,40.1,5.7,4.1,32,5.3,3.7,36.4,3.9,9.4,129.4,6.9,3.1,119.4,319.3,19.4,10.3,6.8,31.3,3,27.7,18.1,15.8,16.4,10.2,26.9,43.9,4.2,3.8,10.1,48,8.8,6.6,8.1,70.8,32,38.8,320.7,205.2,37.8,77.7,311.6,40,11.9,41.4,17.8,47.4,28.9,10.2,45,20.5,48.4,225.9,33.7,2.5,51.5,12.7,11.5,21.2,2.6,63.7,26.6,-59.4,72.5,175,-115.4,-191.5
,2016,"4,327.00",421.6,375.2,46.4,203.3,89.2,92.8,..,21.3,164.8,13.1,124.4,4.4,22.8,"1,012.30",171.2,653.6,13.8,1.8,32.9,56,3.3,79.7,237.4,65.8,2.4,13.7,27.9,7.9,13.8,12.1,27.1,28.8,9.7,10.9,17.4,175.5,88.7,1.5,12.2,68.3,4.8,751.6,66.4,174.8,63,2.8,72.4,220.3,43.4,6.1,4.2,36.7,5.3,3.8,38.9,3.5,9.9,135,6.9,3.3,124.8,331.9,19.9,10.6,6.3,33.8,3,29.7,19.1,16.6,17.6,11,27.1,47.1,4.4,3.6,10.2,47.9,8.9,6.7,8.5,73.9,34.2,39.7,339,216.4,38.7,83.9,322.6,41,13.4,41.7,18.5,49.3,29.4,10.9,46.1,21.4,50.9,229.9,34.3,2.7,52.5,13.1,11.1,21.5,2.6,65,27.1,-71.8,76.6,187.1,-136.7,-198.9
,2017,"4,498.00",431.4,382.9,48.5,207.4,92.1,96,..,19.3,171.2,13,129.6,4.6,24,"1,048.10",178.2,674.7,13.7,1.9,34.1,58.8,3.2,83.5,247.7,66.8,2.3,13.4,30.3,8.7,14.5,13.4,28.1,31,9.8,11.5,17.9,184,91.5,3.3,13,71.2,5,814.8,63.9,190.3,65.2,2.7,81.3,249.2,45.9,6.6,4.4,38.9,5.5,3.9,42.4,4.2,10.4,143.2,7,3.4,132.8,342.2,20.8,10.7,6.3,37.7,3,29.4,20.3,18.3,18.3,11.6,28,45.9,4.2,3.9,10.9,48.4,9,6.1,9.4,77.5,36.8,40.7,363.6,232.9,39.5,91.1,339,42.4,13.9,42.8,19.9,50,29,11.6,47.1,21.5,60.7,242.3,35,2.8,56.8,13.9,10.9,22.4,2.6,69.4,28.5,-114.6,73,185.6,-155.9,-217.3
Nova Scotia,1997,"14,182.00","1,532.70","1,349.40",183.3,793.4,300.9,316.1,..,176.4,658.3,62.4,487.1,30.2,78.6,"3,643.90",621.6,"2,241.40",40.7,4.7,32.6,359.4,7.2,336.2,768.9,174.9,9.4,44.9,82.9,21.8,48.6,34.2,85.4,133.4,37.9,46.5,49,414,202.7,..,34.3,151.3,25.7,"1,932.40",328.5,291.3,156.3,20.9,190.4,487.7,125.6,16.4,15.3,27.2,28.8,13.9,188.7,11.4,30.3,307.4,21.2,8.3,277.9,"1,319.90",122.9,54.6,48.8,101.5,16.6,78.7,67.6,44.9,54.6,25,94.4,86.5,14.2,24.1,25.1,305.7,48.1,62.4,44.4,191.5,137.1,54.4,969.5,654.2,144.2,171.2,"1,021.50",166.2,25.5,68,76.1,233.1,145,26.7,120.5,23.7,136.8,805,109.5,7.9,221.4,57.8,40.6,66.6,28,150.2,123,-176.2,288.6,312.3,-374.8,-402.4
,1998,"14,725.00","1,574.90","1,379.80",195,827.9,309.9,336.8,..,181.2,688.6,66.5,509.6,31.6,80.9,"3,672.30",634.4,"2,299.90",44.4,5,36.1,348.2,7,297.3,815.3,190,10.1,46.9,89.3,23.8,51.8,36.8,91.7,138.1,37.5,47.5,51.8,442.6,223.4,..,36.5,154.2,28.6,"2,009.30",349.6,316.2,157.6,22.5,190,485.2,129.4,17.3,15.5,32.7,28.3,13.6,207.2,12.4,31.8,337.7,22.3,9.2,306.2,"1,417.00",129.2,59.9,56,107.2,18.2,88.2,73.5,48,56.1,27.6,102.6,95.8,15.4,25.4,27.1,325.3,52.7,62.8,46,206.9,149.1,57.8,"1,029.60",690.8,160.5,178.4,"1,111.10",171.8,24.5,84.8,84.1,254.7,141,25.4,134.7,26.1,164,848.4,116.6,8.5,233.9,62.8,43,67.9,28.6,159.4,127.8,-256.6,278.7,337.9,-420.8,-452.5
,1999,"15,580.00","1,626.60","1,424.40",202.2,871.3,347.9,332,..,191.4,729.6,71.1,540.4,31.4,86.7,"3,819.00",654.2,"2,380.80",47.4,5.4,38.5,367.1,7.4,318.2,872.5,212.8,11.1,48.6,98.2,25.9,53.6,38.6,99.6,143.3,40.3,49.3,51.2,479.7,238,..,38.5,173.2,29.9,"2,215.80",392.3,350.2,160,22,201.6,555.5,137.3,18.2,15.8,33.7,33.9,14.3,230.1,16.7,34.2,353.5,24.7,10.1,318.7,"1,502.70",141.8,63.5,60.2,113,19.5,93,78.5,49.8,59.2,30.3,110,105.8,18.1,26.7,28.7,337.7,55.5,63.7,47.7,214.6,160.3,54.3,"1,084.40",727.1,165,192.3,"1,186.10",179.9,28.7,87.2,82,278.5,138,27.6,149.5,30.2,184.3,905.1,122.4,9.3,242.9,68.8,45.6,73.1,29,178.2,135.8,-280.8,295.6,345,-452.7,-468.8
,2000,"16,466.00","1,678.60","1,492.60",185.9,886,350.6,333.2,..,202.3,742.7,73.6,550.3,32,86.9,"4,110.40",674.4,"2,502.10",50,6.1,42.2,377.5,10.6,447.4,911,226.8,10.9,49.8,102.2,26.7,56.6,40.2,102.3,145.5,43.5,53.2,53.3,523.9,262.2,..,41.9,188.7,31.2,"2,410.40",426.7,343.9,174.9,21,211.8,665.5,144.5,20.2,16.4,34.7,34.9,15.4,244.7,19.9,35.9,360.5,26.7,12.1,321.7,"1,595.10",151,69.6,59.9,118.9,20,96.9,81.9,54.1,63.4,34.8,114.8,119.4,20.4,27.4,29.8,359.8,58,65.5,49.5,231.2,170.7,60.6,"1,150.20",776.1,168,206,"1,263.00",194.1,23.9,93.2,80.2,302.5,133,33.4,162.5,33.5,206.7,944.6,130.5,9.5,251,71.8,48,76.9,29.3,190.2,137.4,-341.8,315.9,357.9,-477.5,-538.1
,2001,"16,966.00","1,774.50","1,578.90",195.6,947.2,369.7,365.4,..,212.1,757.9,75.7,560.3,32,89.8,"4,241.90",691.9,"2,628.40",50.3,6.3,46.6,385.8,10.6,421.9,938.6,233.3,11.1,51.3,102,27.5,58.8,40.7,106.8,149.8,45.5,55.3,56.6,561.3,285.6,0,44,199.6,32.1,"2,357.90",435,329.9,178.4,20,220.1,619.5,143.3,21.6,18.3,35.9,36.4,15.5,226.7,20.3,36.9,391.7,28,12.4,351.3,"1,659.10",153.5,65,61.2,122.1,19.1,100.8,84.6,56.2,65.8,38.5,120.4,131.2,22.2,28,31.1,382.2,60.2,65.8,51,249.4,185.4,64,"1,204.60",816.3,172.5,215.8,"1,298.90",187.7,24.2,96.3,78.1,334.4,130,28.2,172.9,38,209.2,990.7,135.4,9.7,266.9,74.3,49.3,83,29,205,138.1,-407.8,332.2,389.4,-508.6,-620.9
,2002,"18,032.00","1,836.90","1,635.30",201.5,"1,046.40",391.9,435.3,..,219.2,797.8,79.8,593.3,30.9,93.8,"4,385.00",719.6,"2,750.60",53.5,6.9,48.6,393.5,10.2,402,"1,008.20",249.6,12.5,56,110.8,29.2,60.8,43.8,117.2,160.5,48.3,58.3,61.1,617.4,322.3,0,47.6,213.7,33.8,"2,534.90",485.2,400.5,191.1,21.2,237.8,642.3,146.6,23.2,21.9,37.5,37.6,15.5,214.5,22.8,37.4,419.9,31.5,13.2,375.2,"1,754.70",160.3,60.7,65.4,127.6,20.2,110.8,90.6,56.6,70.3,40.9,125.7,156,23.6,28.5,32.3,400.1,66.6,66.6,51.8,275.9,209.2,66.6,"1,303.70",884.7,186.6,232.4,"1,397.00",183.5,25.2,105.7,89.4,346.3,139,25.3,192.5,45.3,244.6,"1,049.90",138.7,10.3,290.1,79.8,52.2,85.5,28.8,218.2,146.3,-395.5,338.6,454.8,-559.6,-629.3
,2003,"18,917.00","1,878.20","1,669.50",208.6,"1,130.30",416.5,487.9,..,225.9,812.5,82.1,603.7,31.3,95.3,"4,691.60",761.5,"2,904.10",52,7.3,51.4,409.7,12.9,492.8,"1,050.10",258.5,13.2,57.1,113.6,29.9,65.5,52.1,118,167.6,50.7,61.5,62.5,669.2,345.3,0,51.5,235,37.4,"2,661.30",475.6,393.7,255.3,29.6,246.1,687.7,155.2,24.2,25,38.1,39.2,16.4,215.3,20.8,39.1,446.7,33.4,13.8,399.5,"1,781.30",161,60.3,67.4,124.9,20.5,114.4,91.1,58.9,71.8,44.5,134.7,168.1,24.6,28.9,34.2,391.2,66.3,65.9,52.3,309.9,240.2,69.7,"1,335.20",899,197.8,238.4,"1,443.70",186.7,28.2,111.6,107,361.8,150,29.3,204.5,47.4,217.2,"1,097.90",144.9,10.5,305.7,81.8,56,84.5,28.9,227.5,158.2,-390.7,344.4,435.7,-487.3,-683.5
,2004,"19,754.00","1,922.60","1,710.50",212,"1,146.70",429.8,487.8,..,229.1,824.1,84,609.7,31.1,99.3,"4,938.60",800.1,"3,046.70",53.5,7.8,54.2,439.7,13.6,523,"1,098.50",275.1,13.9,58.3,116.7,31.6,69.7,55.2,122.8,172.6,53.1,64.6,64.9,718.7,367,0,54.3,257.9,39.5,"2,828.50",469.6,403.1,273.3,35.7,260.7,769,168.4,25.5,25.1,40.4,42.2,19.2,235.9,20.5,40,467.7,35.9,14.6,417.2,"1,830.60",167.1,62.2,68.1,122.6,21.3,116.9,94,59.6,74,47.4,137,177.6,24.2,28.8,35.5,409.4,66.6,64.8,53.5,333.3,261.9,71.4,"1,385.50",930.3,209.6,245.6,"1,534.00",189.6,30.9,115.7,116.7,377,151,33.7,218.5,52.1,248.8,"1,135.00",151.7,11.2,322.4,85.1,58.3,85.5,28,228.5,164.3,-409.7,381.1,433.2,-548,-676.1
,2005,"20,708.00","1,973.60","1,752.70",220.9,"1,165.90",464.3,475.3,..,226.4,840.4,86.7,619.7,30.9,103.2,"5,232.10",827.1,"3,182.20",55.3,8.1,58.2,460.4,16.4,624.4,"1,132.60",287.5,14.5,57.9,119.1,33.6,72.6,57.1,124.4,177.1,55,66.8,66.7,776,389.7,0,55.6,286.9,43.8,"2,989.10",493.2,417.3,288.2,36.7,268.7,848.4,169.5,26,25.8,41.9,47.5,18.8,243.6,20.9,42.4,502.6,36.2,15.4,451.1,"1,869.20",175.2,65,69.2,118.6,21.7,121.9,96.8,60.5,83,51,142.6,186.7,23.2,28.2,36.8,399.1,68.1,65.7,55.9,351.2,272.7,78.4,"1,421.00",939.6,215.9,265.5,"1,651.20",194,30.9,123.7,120.7,412.9,154,38.6,231.4,56,289,"1,183.90",158.3,11.9,332.7,86.5,60.5,87.6,26.8,246.1,173.5,-380.8,423.9,443,-534.4,-713.3
,2006,"21,592.00","2,039.10","1,806.20",232.9,"1,151.00",490.3,446.9,..,213.9,877.2,88.2,648.4,30.9,109.7,"5,381.50",865.9,"3,351.00",60.3,8.8,62.8,489.3,13.5,529.8,"1,202.50",310.7,15.3,62.4,126.9,35.9,77.2,61,131.7,185.8,57.5,68.8,69.2,852.5,421.1,0,61.1,321.7,48.5,"3,139.30",514,417.2,294.7,45.7,291.2,900,182.6,26.7,26.5,43.6,50.2,19.7,262.3,20.8,44.1,538.2,36.8,16,485.4,"1,917.70",184.6,68.2,72.5,131.4,22.1,130.1,103.3,60.8,85,55.1,148.5,195.8,22.5,28.2,38.1,379.6,69.7,65.7,56.6,364.5,279.1,85.4,"1,475.40",989.9,211.4,274.1,"1,738.60",197.3,32.8,125.5,123.8,437.2,162,44.9,253.8,58.5,302.9,"1,251.90",168.6,12.8,345.8,90.8,65.3,89,25.7,263.4,190.5,-337.4,454,459,-525.1,-725.3
,2007,"22,663.00","2,106.40","1,856.60",249.8,"1,164.10",514.2,451,..,198.9,914.8,87.4,682.5,30.6,114.3,"5,654.30",905.7,"3,536.30",61,9.7,71.5,504,14,552,"1,251.80",327.1,15.8,66,132.5,36.7,80.3,60.3,136.3,191.8,59.8,72.1,73.2,901.4,439.1,0.2,66.2,345.5,50.4,"3,360.80",552.2,442.1,317.1,50.4,311.7,970.2,193,28,28.7,45.5,52.7,20.5,280.1,21.5,47.1,570.1,38.2,17.1,514.8,"1,974.40",190.8,72.7,75.5,141.3,22.1,140.4,106.3,63.9,87.9,60.8,161.1,211.6,24,26.9,41.1,355.5,70.6,65,57.1,362.7,271.2,91.6,"1,516.70","1,029.30",202.4,285,"1,854.30",204.2,35.4,139.7,125.6,452.9,156,49.4,286.2,68,336.9,"1,303.40",178.5,13.1,357.3,92.5,68.7,90.6,24.8,279.9,198,-272.3,510.6,468.8,-513.7,-738
,2008,"23,772.00","2,194.50","1,942.00",252.5,"1,193.00",541.9,456.2,..,195,934.6,88.5,698.6,30.8,116.6,"6,061.60",943.1,"3,695.00",61.8,10.1,79.5,545.5,15.2,711.5,"1,304.10",348.5,15.7,67.9,141.8,39.5,81.7,60.7,138.5,197.4,61.6,75.7,75.1,955,463.4,0.2,70,368.6,52.8,"3,601.20",590.8,405.9,321.6,50.4,337.6,"1,133.40",205.3,28.9,28.7,45.8,55.6,21.6,303.8,23,48.8,616.9,38.4,18.2,560.3,"2,033.00",198,76.2,78.7,145.2,22.1,154.1,108,66,92.1,64.9,165.5,226.2,25.9,26.3,42,352.7,69.3,63.5,56.4,363.2,269.8,93.4,"1,587.90","1,089.30",205.8,292.8,"1,845.80",212.7,34.5,146,123.4,441,168,48.6,302.2,73.1,296.4,"1,353.20",185.9,14.1,370.1,95.4,72.4,96.5,23.6,300.9,194.3,-271.9,536.6,481.9,-547.2,-743.2
,2009,"24,111.00","2,323.70","2,055.70",267.9,"1,274.40",567.7,521.6,..,185.1,951.8,88.4,710.4,31.2,121.7,"6,219.70","1,002.30","3,942.40",62.4,10.5,83.7,571.3,13.3,533.9,"1,319.40",342.8,13.9,67.3,147.4,41,82.4,60.5,140.2,206.3,62.7,78.2,77,996.3,488.2,0.2,74.3,379.7,54,"3,475.20",525.1,466.9,297.2,51.3,357.4,"1,021.30",217.1,30.2,29.3,47.8,57.9,22.6,280.1,23.1,48,645.7,39,19.6,587.2,"2,072.80",190.7,78.2,76.5,140.9,22.3,153.3,112.3,70.8,104.5,68.8,172.5,236.2,29.8,26.7,45.1,347.3,71.8,65.4,59.6,372.5,276.9,95.6,"1,592.70","1,108.90",200,283.8,"1,739.20",220,35,151,129,404,160,45.9,271.1,67.5,255.8,"1,391.10",182.3,14.6,388.7,92.8,73.9,98.3,24.3,313.7,202.4,-263.5,535.9,480.9,-514.9,-765.5
,2010,"25,244.00","2,376.60","2,100.90",275.6,"1,347.90",596.7,570,..,181.2,981.6,90.5,735.7,30.2,125.2,"6,485.50","1,053.50","4,146.80",65.6,11.3,89.9,537.6,13.1,567.6,"1,361.20",357.8,14.4,69.6,148.9,42.5,86.2,63.5,146.5,208,63.1,77.9,82.9,"1,045.30",504,0.3,75.8,409.4,55.9,"3,756.30",498.4,567.1,314,51.1,372.6,"1,159.80",223,32.1,28.8,49.4,59.8,22.8,305.4,22.8,49.1,686.6,40.4,20.8,625.4,"2,124.20",198.9,86.9,73.7,141.7,21.6,151.2,115.4,72.9,109.5,76.5,179.6,252.3,29.3,27.5,45.8,341.5,74,66.3,59.8,389.4,290.8,98.6,"1,645.20","1,154.40",201.9,288.9,"1,840.10",217.1,37.2,158,125,419.8,179.3,48.3,263.7,85.6,306,"1,438.80",184.4,15.2,397.1,94.9,76.2,104.9,24.2,325.1,216.8,-234.8,613.1,506.1,-567.2,-786.8
